path,type,related_id,business_meaning,agent_use
files/excel/pipeline_obchodu_kveten_2026.xlsx,xlsx,deals,pracovní obchodní pipeline od vedení,"extrahovat fáze obchodů, ceny, pravděpodobnost a další kroky"
files/excel/mesicni_report_leady_prodeje.xlsx,xlsx,monthly_metrics,měsíční KPI report s grafy,odpovědět na trend leadů a prodaných nemovitostí
files/excel/data_quality_chybejici_podklady.xlsx,xlsx,properties,seznam nemovitostí s nekompletními podklady,najít blokery a doporučit další krok
files/docx/tydenni_report_vedeni_2026-05-03.docx,docx,weekly_report,report pro vedení,"vytěžit shrnutí, rizika a akční kroky"
files/docx/zapis_akvizicni_porada_2026-04-30.docx,docx,tasks,zápis z interní porady,převést rozhodnutí na úkoly
files/pdf/list_vlastnictvi_p1001_mock.pdf,pdf,P-1001,mock list vlastnictví,ověřit vlastnictví a poznámky k nemovitosti
files/pdf/penb_p1004_chybejici_vyzva.pdf,pdf,P-1004,výzva k doložení PENB,identifikovat compliance blocker
files/contracts/rezervacni_smlouva_p1002_mock.pdf,pdf,P-1002,pracovní rezervační smlouva,najít otevřené body smlouvy
google-calendar/google_calendar_events_mock.json,json,calendar,napodobenina odpovědi Google Calendar API,vybrat volný termín pro prohlídku
google-calendar/pepa_google_calendar_mock.ics,ics,calendar,export kalendáře,fallback kalendářový import
